Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Indonesia,IDN,..,..,62.7231144779976,..,..,..,61.8941729586247,..,..,68.3276706855368
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Philippines,PHL,..,..,41.3527665190642,..,..,..,61.1750789264629,..,..,57.9031088518301
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Singapore,SGP,..,..,99.0588108097256,..,..,..,98.961242823525,..,..,98.6803833171565
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Thailand,THA,..,..,86.6255612615021,..,..,..,97.3116748556101,..,..,93.9332708290935
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Malaysia,MYS,..,..,87.5355065531599,..,..,..,92.9416353864796,..,..,92.4534292521765
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,
